Tools,Vulnerability name,access_control,arithmetic,denial_service,reentrancy,unchecked_low_calls,bad_randomness,front_running,time_manipulation,short_addresses,Other,Ignore
mythril,Transaction order dependence,,,,,,,TRUE,,,,
mythril,Unchecked CALL return value,,,,,TRUE,,,,,,
mythril,Unchecked SUICIDE,TRUE,,,,,,,,,,
mythril,Use of tx.origin,TRUE,,,,,,,,,,
osiris,callstack_bug,,,TRUE,,,,,,,,
osiris,concurrency_bug,,,,,,,,,,,TRUE
osiris,division_bugs,,TRUE,,,,,,,,,
osiris,overflow_bugs,,TRUE,,,,,,,,,
osiris,reentrancy_bug,,,,TRUE,,,,,,,
osiris,signedness_bugs,,TRUE,,,,,,,,,
osiris,time_dependency_bug,,,,,,,,TRUE,,,
osiris,truncation_bugs,,TRUE,,,,,,,,,
osiris,underflow_bugs,,TRUE,,,,,,,,,
oyente,Callstack Depth Attack Vulnerability.,,,TRUE,,,,,,,,
oyente,Integer Overflow.,,TRUE,,,,,,,,,
oyente,Integer Underflow.,,TRUE,,,,,,,,,
oyente,Parity Multisig Bug 2.,TRUE,,,,,,,,,,
oyente,Re-Entrancy Vulnerability.,,,,TRUE,,,,,,,
oyente,Timestamp Dependency.,,,,,,,,TRUE,,,
securify,DAO,,,,TRUE,,,,,,,
securify,DAOConstantGas,,,,TRUE,,,,,,,
securify,LockedEther,,,,,,,,,,TRUE,
securify,MissingInputValidation,,,,,,,,,,,TRUE
securify,RepeatedCall,,,,,,,,,,,TRUE
securify,TODAmount,,,,,,,TRUE,,,,
securify,TODReceiver,,,,,,,TRUE,,,,
securify,TODTransfer,,,,,,,TRUE,,,,
securify,UnhandledException,,,,,TRUE,,,,,,
securify,UnrestrictedEtherFlow,TRUE,,,,,,,,,,
securify,UnrestrictedWrite,TRUE,,,,,,,,,,
slither,arbitrary-send,TRUE,,,,,,,,,,
slither,assembly,,,,,,,,,,,TRUE
slither,calls-loop,,,TRUE,,,,,,,,
slither,constable-states,,,,,,,,,,,TRUE
slither,constant-function,,,,,,,,,,,TRUE
slither,controlled-delegatecall,TRUE,,,,,,,,,,
slither,deprecated-standards,,,,,,,,,,,TRUE
slither,erc20-indexed,,,,,,,,,,,TRUE
slither,erc20-interface,,,,,,,,,,,TRUE
slither,external-function,,,,,,,,,,,TRUE
slither,incorrect-equality,,,,,,,,,,TRUE,
slither,locked-ether,,,,,,,,,,TRUE,
slither,low-level-calls,,,,,TRUE,,,,,,
slither,naming-convention,,,,,,,,,,,TRUE
slither,reentrancy-benign,,,,TRUE,,,,,,,
slither,reentrancy-eth,,,,TRUE,,,,,,,
slither,reentrancy-no-eth,,,,TRUE,,,,,,,
slither,shadowing-abstract,,,,,,,,,,,TRUE
slither,shadowing-builtin,,,,,,,,,,,TRUE
slither,shadowing-local,,,,,,,,,,,TRUE
slither,shadowing-state,,,,,,,,,,,TRUE
slither,solc-version,,,,,,,,,,,TRUE
slither,suicidal,TRUE,,,,,,,,,,
slither,timestamp,,,,,,,,TRUE,,,
slither,tx-origin,TRUE,,,,,,,,,,
slither,uninitialized-local,,,,,,,,,,TRUE,
slither,uninitialized-state,,,,,,,,,,TRUE,
slither,uninitialized-storage,,,,,,,,,,TRUE,
slither,unused-return,,,,,TRUE,,,,,,
slither,unused-state,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_ADDRESS_HARDCODED,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_ARRAY_LENGTH_MANIPULATION,,TRUE,,,,,,,,,
smartcheck,SOLIDITY_BALANCE_EQUALITY,,,,,,,,,,TRUE,
smartcheck,SOLIDITY_BYTE_ARRAY_INSTEAD_BYTES,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_CALL_WITHOUT_DATA,,,,TRUE,,,,,,,
smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_DIV_MUL,,TRUE,,,,,,,,,
smartcheck,SOLIDITY_ERC20_APPROVE,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_ERC20_FUNCTIONS_ALWAYS_RETURN_FALSE,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_ERC20_TRANSFER_SHOULD_THROW,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_EXACT_TIME,,,,,,,,TRUE,,,
smartcheck,SOLIDITY_EXTRA_GAS_IN_LOOPS,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN,,,,,,,,,,TRUE,
smartcheck,SOLIDITY_GAS_LIMIT_IN_LOOPS,,,TRUE,,,,,,,,
smartcheck,SOLIDITY_INCORRECT_BLOCKHASH,,,,,,,,,,TRUE,
smartcheck,SOLIDITY_LOCKED_MONEY,,,,,,,,,,TRUE,
smartcheck,SOLIDITY_MSGVALUE_EQUALS_ZERO,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_OVERPOWERED_ROLE,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_PRAGMAS_VERSION,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_REDUNDANT_FALLBACK_REJECT,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_REVERT_REQUIRE,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_SAFEMATH,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_SEND,,,,,TRUE,,,,,,
smartcheck,SOLIDITY_SHOULD_NOT_BE_PURE,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_SHOULD_NOT_BE_VIEW,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_SHOULD_RETURN_STRUCT,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_TRANSFER_IN_LOOP,,,TRUE,,,,,,,,
smartcheck,SOLIDITY_TX_ORIGIN,TRUE,,,,,,,,,,
smartcheck,SOLIDITY_UINT_CANT_BE_NEGATIVE,,TRUE,,,,,,,,,
smartcheck,SOLIDITY_UNCHECKED_CALL,,,,,TRUE,,,,,,
smartcheck,SOLIDITY_UPGRADE_TO_050,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_USING_INLINE_ASSEMBLY,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_VAR,,TRUE,,,,,,,,,
smartcheck,SOLIDITY_VAR_IN_LOOP_FOR,,TRUE,,,,,,,,,
smartcheck,SOLIDITY_VISIBILITY,,,,,,,,,,,TRUE
smartcheck,SOLIDITY_WRONG_SIGNATURE,,,,,,,,,,,TRUE
solhint,indent,,,,,,,,,,,TRUE
solhint,max-line-length,,,,,,,,,,,TRUE
honeybadger,hidden_state_update,,,,,,,,,,,TRUE
honeybadger,uninitialised_struct,,,,,,,,,,TRUE,
honeybadger,inheritance_disorder,,,,,,,,,,,TRUE
honeybadger,straw_man_contract,,,,TRUE,,,,,,,
honeybadger,hidden_transfer,,,,,,,,,,TRUE,
honeybadger,balance_disorder,,,,,,,,,,,TRUE
honeybadger,type_overflow,,TRUE,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,Include,97
,,,,,,,,,,,Ignore,44semgrep,non-payable-constructor
semgrep,use-prefix-decrement-not-postfix
semgrep,inefficient-state-variable-increment
semgrep,use-multiple-require
semgrep,array-length-outside-loop
semgrep,state-variable-read-in-a-loop
semgrep,unnecessary-checked-arithmetic-in-loop
semgrep,use-nested-if
semgrep,use-prefix-increment-not-postfix
semgrep,delegatecall-to-arbitrary-address
semgrep,init-variables-with-default-value
semgrep,use-ownable2step
semgrep,use-custom-error-not-require
semgrep,use-short-revert-string
semgrep,incorrect-use-of-blockhash
conkas,Reentrancy,,,,TRUE
conkas,Unchecked Low Level Call,,,,,TRUE
conkas,Time Manipulation,,,,,,,,TRUE
conkas,Transaction Ordering Dependence
confuzzius,Assertion Failure
confuzzius,Unhandled Exception
confuzzius,Transaction Order Dependency
confuzzius,Block Dependency
confuzzius,Leaking Ether
confuzzius,Arbitrary Memory Access
confuzzius,Unsafe Delegatecall
confuzzius,Unprotected Selfdestruct
sfuzz,Exception Disorder
sfuzz,Timestamp Dependency
sfuzz,Gasless Send
sfuzz,Block Number Dependency
sfuzz,Freezing Ether
sfuzz,Dangerous Delegate Call
vandal,UncheckedCall
vandal,ReentrantCall
slither,arbitrary-send-eth
slither,unchecked-lowlevel
slither,missing-zero-check
slither,reentrancy-unlimited-gas
slither,controlled-array-length
slither,weak-prng
slither,reentrancy-events
slither,divide-before-multiply
slither,unchecked-send
slither,events-access
slither,events-maths
slither,incorrect-modifier
slither,costly-loop
slither,constant-function-asm
slither,too-many-digits
slither,dead-code
slither,cache-array-length
slither,tautology
slither,boolean-equal
slither,similar-names
slither,unchecked-transfer
slither,missing-inheritance
slither,return-bomb
slither,redundant-statements
maian,Not destructible (no self-destruct)
maian,No Ether leak (no send)
maian,No Ether lock (Ether refused)
maian,Ether leak (verified)
maian,Destructible (verified)
oyente,Callstack Depth Attack Vulnerability
oyente,Re-Entrancy Vulnerability
oyente,Transaction-Ordering Dependence (TOD)
solhint,compiler-version
solhint,reason-string
solhint,func-visibility
solhint,avoid-call-value
solhint,avoid-low-level-calls
solhint,avoid-sha3
solhint,visibility-modifier-order
solhint,not-rely-on-time
solhint,contract-name-camelcase
solhint,var-name-mixedcase
solhint,state-visibility
solhint,func-name-mixedcase
solhint,avoid-tx-origin
solhint,payable-fallback
solhint,check-send-result
solhint,multiple-sends
solhint,avoid-throw
solhint,quotes
solhint,not-rely-on-block-hash
solhint,no-unused-vars
solhint,const-name-snakecase
solhint,no-inline-assembly
solhint,no-empty-blocks
solhint,no-complex-fallback
solhint,avoid-suicide
solhint,max-states-count
solhint,event-name-camelcase
mythril,Transaction Order Dependence (SWC 114)
mythril,Unprotected Ether Withdrawal (SWC 105)
mythril,Dependence on tx.origin (SWC 115)
mythril,External Call To User-Supplied Address (SWC 107)
mythril,Unchecked return value from external call. (SWC 104)
mythril,State access after external call (SWC 107)
mythril,Exception State (SWC 110)
mythril,Multiple Calls in a Single Transaction (SWC 113)
mythril,Dependence on predictable environment variable (SWC 116)
mythril,Integer Arithmetic Bugs (SWC 101)
mythril,Dependence on predictable environment variable (SWC 120)
mythril,requirement violation (SWC 123)
mythril,Delegatecall to user-supplied address (SWC 112)
mythril,Write to an arbitrary storage location (SWC 124)
mythril,Unprotected Selfdestruct (SWC 106)
ethor-2023,insecure
vandal,OriginUsed
vandal,CheckedCallStateUpdate
osiris,Callstack bug
osiris,Truncation bugs
osiris,Reentrancy bug
osiris,Overflow bugs
osiris,Underflow bugs
osiris,Concurrency bug
osiris,Time dependency bug
osiris,Division bugs
